date,ethUsdRate
2020-03-04,224.57
2020-03-03,230.52
2020-03-02,218.71
2020-03-01,219.75
2020-02-29,226.83
2020-02-28,226.99
2020-02-27,225.69
2020-02-26,247.74
2020-02-25,265.28
2020-02-24,273.71
2020-02-23,262.28
2020-02-22,265.55
2020-02-21,257.89
2020-02-20,259.82
2020-02-19,282.04
2020-02-18,266.51
2020-02-17,259.89
2020-02-16,264.90
2020-02-15,284.56
2020-02-14,268.02
2020-02-13,265.05
2020-02-12,235.90
2020-02-11,223.38
2020-02-10,228.55
2020-02-09,222.98
2020-02-08,222.51
2020-02-07,212.32
2020-02-06,204.13
2020-02-05,189.30
2020-02-04,189.86
2020-02-03,188.61
2020-02-02,183.53
2020-02-01,180.11
2020-01-31,184.74
2020-01-30,174.92
2020-01-29,176.35
2020-01-28,170.88
2020-01-27,168.01
2020-01-26,161.18
2020-01-25,163.07
2020-01-24,162.90
2020-01-23,168.30
2020-01-22,169.61
2020-01-21,167.06
2020-01-20,166.90
2020-01-19,175.47
2020-01-18,170.75
2020-01-17,164.49
2020-01-16,166.33
2020-01-15,165.73
2020-01-14,144.25
2020-01-13,146.22
2020-01-12,143.03
2020-01-11,143.41
2020-01-10,138.97
2020-01-09,141.16
2020-01-08,143.49
2020-01-07,144.31
2020-01-06,136.31
2020-01-05,135.07
2020-01-04,134.17
2020-01-03,127.41
2020-01-02,130.82
2020-01-01,129.63
2019-12-31,132.61
2019-12-30,134.80
2019-12-29,128.27
2019-12-28,127.21
2019-12-27,126.37
2019-12-26,126.49
2019-12-25,129.07
2019-12-24,128.63
2019-12-23,132.31
2019-12-22,128.10
2019-12-21,129.10
2019-12-20,129.38
2019-12-19,133.05
2019-12-18,122.66
2019-12-17,133.65
2019-12-16,143.14
2019-12-15,142.86
2019-12-14,144.95
2019-12-13,145.66
2019-12-12,143.62
2019-12-11,146.32
2019-12-10,148.18
2019-12-09,151.22
2019-12-08,148.74
2019-12-07,149.20
2019-12-06,149.40
2019-12-05,146.69
2019-12-04,147.92
2019-12-03,149.06
2019-12-02,151.18
2019-12-01,152.49
2019-11-30,155.29
2019-11-29,151.77
2019-11-28,153.07
2019-11-27,148.40
2019-11-26,146.40
2019-11-25,142.70
2019-11-24,153.43
2019-11-23,150.21
2019-11-22,161.51
2019-11-21,175.67
2019-11-20,177.42
2019-11-19,180.50
2019-11-18,185.04
2019-11-17,183.35
2019-11-16,180.50
2019-11-15,186.06
2019-11-14,188.27
2019-11-13,186.94
2019-11-12,185.56
2019-11-11,189.50
2019-11-10,184.94
2019-11-09,184.31
2019-11-08,187.92
2019-11-07,191.50
2019-11-06,189.11
2019-11-05,186.31
2019-11-04,182.32
2019-11-03,183.99
2019-11-02,184.02
2019-11-01,183.80
2019-10-31,184.80
2019-10-30,190.34
2019-10-29,182.67
2019-10-28,184.40
2019-10-27,179.93
2019-10-26,181.67
2019-10-25,162.19
2019-10-24,162.51
2019-10-23,172.26
2019-10-22,174.91
2019-10-21,175.52
2019-10-20,172.97
2019-10-19,173.65
2019-10-18,177.99
2019-10-17,175.91
2019-10-16,181.34
2019-10-15,186.98
2019-10-14,182.03
2019-10-13,180.86
2019-10-12,182.53
2019-10-11,191.80
2019-10-10,193.19
2019-10-09,182.04
2019-10-08,181.11
2019-10-07,172.94
2019-10-06,176.36
2019-10-05,176.95
2019-10-04,175.24
2019-10-03,180.70
2019-10-02,177.22
2019-10-01,180.21
2019-09-30,170.46
2019-09-29,174.61
2019-09-28,174.68
2019-09-27,166.65
2019-09-26,170.76
2019-09-25,168.13
2019-09-24,201.84
2019-09-23,211.71
2019-09-22,215.49
2019-09-21,217.90
2019-09-20,221.07
2019-09-19,211.25
2019-09-18,208.05
2019-09-17,197.11
2019-09-16,189.69
2019-09-15,188.07
2019-09-14,181.32
2019-09-13,180.98
2019-09-12,178.80
2019-09-11,179.84
2019-09-10,181.21
2019-09-09,181.36
2019-09-08,178.28
2019-09-07,169.96
2019-09-06,174.17
2019-09-05,175.97
2019-09-04,179.49
2019-09-03,178.36
2019-09-02,171.70
2019-09-01,172.46
2019-08-31,168.89
2019-08-30,169.49
2019-08-29,173.96
2019-08-28,187.50
2019-08-27,188.95
2019-08-26,186.74
2019-08-25,191.23
2019-08-24,194.67
2019-08-23,191.11
2019-08-22,186.94
2019-08-21,196.62
2019-08-20,202.81
2019-08-19,194.56
2019-08-18,185.84
2019-08-17,185.53
2019-08-16,188.64
2019-08-15,186.68
2019-08-14,208.60
2019-08-13,211.34
2019-08-12,216.06
2019-08-11,206.73
2019-08-10,210.53
2019-08-09,220.91
2019-08-08,226.52
2019-08-07,225.93
2019-08-06,234.25
2019-08-05,222.65
2019-08-04,222.58
2019-08-03,217.90
2019-08-02,217.88
2019-08-01,218.55
2019-07-31,210.49
2019-07-30,211.34
2019-07-29,211.12
2019-07-28,207.41
2019-07-27,219.62
2019-07-26,219.63
2019-07-25,216.97
2019-07-24,212.55
2019-07-23,217.57
2019-07-22,225.70
2019-07-21,229.17
2019-07-20,221.41
2019-07-19,226.66
2019-07-18,211.44
2019-07-17,199.07
2019-07-16,229.75
2019-07-15,227.97
2019-07-14,269.28
2019-07-13,276.29
2019-07-12,268.69
2019-07-11,289.95
2019-07-10,308.85
2019-07-09,313.33
2019-07-08,305.73
2019-07-07,287.60
2019-07-06,287.89
2019-07-05,284.38
2019-07-04,303.03
2019-07-03,291.76
2019-07-02,293.54
2019-07-01,290.27
2019-06-30,319.58
2019-06-29,311.28
2019-06-28,294.14
2019-06-27,336.96
2019-06-26,317.99
2019-06-25,310.68
2019-06-24,307.72
2019-06-23,309.42
2019-06-22,295.12
2019-06-21,271.74
2019-06-20,269.41
2019-06-19,265.06
2019-06-18,274.32
2019-06-17,269.09
2019-06-16,268.90
2019-06-15,263.93
2019-06-14,256.18
2019-06-13,260.91
2019-06-12,245.93
2019-06-11,247.86
2019-06-10,232.83
2019-06-09,245.54
2019-06-08,251.25
2019-06-07,249.34
2019-06-06,246.93
2019-06-05,241.50
2019-06-04,252.51
2019-06-03,270.09
2019-06-02,265.51
2019-06-01,268.43
2019-05-31,256.02
2019-05-30,269.55
2019-05-29,271.78
2019-05-28,272.59
2019-05-27,267.14
2019-05-26,251.72
2019-05-25,249.69
2019-05-24,245.99
2019-05-23,244.67
2019-05-22,255.00
2019-05-21,251.65
2019-05-20,261.27
2019-05-19,234.45
2019-05-18,243.91
2019-05-17,263.85
2019-05-16,246.94
2019-05-15,217.01
2019-05-14,196.74
2019-05-13,187.42
2019-05-12,194.16
2019-05-11,173.14
2019-05-10,170.31
2019-05-09,170.95
2019-05-08,169.90
2019-05-07,172.43
2019-05-06,163.34
2019-05-05,164.02
2019-05-04,167.89
2019-05-03,162.08
2019-05-02,160.85
